ts,brand,category,idtype_count,device_cummulative_cnts,,,,,,
6/14/2021,GMC,Car,2,138,,,,,,
6/14/2021,Honda,Car,1,336,,,,,,
6/14/2021,Mercedes-Benz,Car,1,1,,,,,,
6/14/2021,Mycar,Car,1,215,,,,,,
6/14/2021,Nissan,Car,1,22,,,,,,
6/14/2021,Porsche,Car,1,3,,,,,,
6/14/2021,Subaru,Car,3,226,,,,,,
6/14/2021,Tesla,Car,6,1954,,,,,,
6/14/2021,Volkswagen,Car,1,17,,,,,,
6/14/2021,Volvo,Car,1,53,,,,,,
6/14/2021,Geochron,Clock,1,1,,,,,,
6/14/2021,LaMetric,Clock,1,29,,,,,,
6/14/2021,Lenovo,Clock,1,138,,,,,,
6/14/2021,Magnavox,Clock,1,8,,,,,,
6/14/2021,Puri,Clock,1,2,,,,,,
6/14/2021,Sandman,Clock,1,4,,,,,,
6/14/2021,Xiaomi,Clock,2,12,,,,,,
6/14/2021,Bosch,Coffee maker,1,3,,,,,,
6/14/2021,De'Longhi,Coffee maker,1,3,,,,,,
6/14/2021,Keurig,Coffee maker,1,5,,,,,,
6/14/2021,Siemens,Coffee maker,1,1,,,,,,
6/14/2021,Thermador,Coffee maker,1,2,,,,,,
6/14/2021,Bosch,Dishwasher,1,14,,,,,,
6/14/2021,Cove,Dishwasher,1,2,,,,,,
6/14/2021,GE,Dishwasher,1,33,,,,,,
6/14/2021,LG,Dishwasher,1,27,,,,,,
6/14/2021,Samsung,Dishwasher,1,264,,,,,,
6/14/2021,Thermador,Dishwasher,1,36,,,,,,
6/14/2021,Whirlpool,Dishwasher,1,32,,,,,,
6/14/2021,Amazon,Doorbell,5,20483,,,,,,
6/14/2021,Amcrest,Doorbell,1,33,,,,,,
6/14/2021,Arlo,Doorbell,2,381,,,,,,
6/14/2021,August,Doorbell,1,33,,,,,,
6/14/2021,Bticino,Doorbell,1,3,,,,,,
6/14/2021,Control4,Doorbell,1,3,,,,,,
6/14/2021,Dling,Doorbell,1,2,,,,,,
6/14/2021,Doorbird,Doorbell,1,30,,,,,,
6/14/2021,Google,Doorbell,1,3302,,,,,,
6/14/2021,Kangaroo,Doorbell,1,233,,,,,,
6/14/2021,Panasonic,Doorbell,3,353,,,,,,
6/14/2021,Remo+,Doorbell,1,53,,,,,,
6/14/2021,SkyBell,Doorbell,1,2675,,,,,,
6/14/2021,Toucan,Doorbell,1,16,,,,,,
6/14/2021,August,Doorlock,1,40,,,,,,
6/14/2021,Kwikset,Doorlock,1,339,,,,,,
6/14/2021,RemoteLock,Doorlock,1,105,,,,,,
6/14/2021,Schlage,Doorlock,1,1118,,,,,,
6/14/2021,Sesame,Doorlock,1,72,,,,,,
6/14/2021,Ultraloq,Doorlock,1,179,,,,,,
6/14/2021,Wyze,Doorlock,1,108,,,,,,
6/14/2021,Mirror,Fitness trainer & bike,1,266,,,,,,
6/14/2021,Myx Fitness,Fitness trainer & bike,1,78,,,,,,
6/14/2021,NordicTrack,Fitness trainer & bike,3,1076,,,,,,
6/14/2021,Peloton,Fitness trainer & bike,2,4915,,,,,,
6/14/2021,ProForm,Fitness trainer & bike,1,242,,,,,,
6/14/2021,Tonal,Fitness trainer & bike,1,80,,,,,,
6/14/2021,WalkingPad,Fitness trainer & bike,1,3,,,,,,
6/14/2021,Bosch,Fridge,9,88,,,,,,
6/14/2021,LG,Fridge,1,114,,,,,,
6/14/2021,Samsung,Fridge,1,1488,,,,,,
6/14/2021,Sub-Zero,Fridge,1,3,,,,,,
6/14/2021,Thermador,Fridge,1,6,,,,,,
6/14/2021,Whirlpool,Fridge,1,7,,,,,,
6/14/2021,Atari,Game console,1,2,,,,,,
6/14/2021,Atgames,Game console,1,21,,,,,,
6/14/2021,Golden Tee,Game console,1,14,,,,,,
6/14/2021,Google,Game console,1,228,,,,,,
6/14/2021,Microsoft,Game console,8,77578,,,,,,
6/14/2021,Nintendo,Game console,9,156240,,,,,,
6/14/2021,Odroid,Game console,1,1,,,,,,
6/14/2021,Playbox,Game console,1,2,,,,,,
6/14/2021,Raspberry Pi,Game console,1,59,,,,,,
6/14/2021,Sony,Game console,8,104214,,,,,,
6/14/2021,Chamberlain,Garage opener,2,12580,,,,,,
6/14/2021,Gogogate,Garage opener,1,29,,,,,,
